"","Gender_D","Age_D","Race_or_Ethnicity_D","Education_D","Observed_Rate","Background_Rate","EquityValue","user_n","pValue","BH_p"
"144","Male",NA,"NH Asian","<HSG",0,0.00558595778251786,-Inf,0,-Inf,-Inf
"145","Male",NA,"NH Asian","HSG/GED",0.000107066381156317,0.00318663190926738,-3.39635543136255,1,5.84196926245325e-12,8.67949718993055e-12
"146","Male",NA,"NH Asian","Some college/TS",0.000963597430406852,0.00284792856117732,-1.08556151392028,9,0.000632413193811023,0.000699691193152622
"147","Male",NA,"NH Asian",">=College grad",0.00438972162740899,0.0097196280735916,-0.800249326480333,41,1.51801915370417e-07,1.75415546650259e-07
"148","Male",NA,"NH Black","<HSG",0.00331905781584582,0.0112687822665908,-1.23036349703568,31,3.37300335648078e-13,5.15871101579414e-13
"149","Male",NA,"NH Black","HSG/GED",0.0366167023554604,0.0182850952080442,0.713267814397772,342,6.45636706469256e-40,1.45970037984353e-39
"150","Male",NA,"NH Black","Some college/TS",0.0850107066381156,0.0197106968211018,1.53055110624488,794,0,0
"151","Male",NA,"NH Black",">=College grad",0.0395074946466809,0.00950116302762263,1.45583868936323,369,2.41909333604909e-196,1.25792853474553e-195
"152","Male",NA,"NH White","<HSG",0.00374732334047109,0.0297288475758217,-2.09750140982388,35,1.84811371690216e-49,5.05799543573223e-49
"153","Male",NA,"NH White","HSG/GED",0.0527837259100642,0.0780782454514277,-0.418575639087353,493,8.12831088755873e-20,1.36345860049372e-19
"154","Male",NA,"NH White","Some college/TS",0.148394004282655,0.10628148209064,0.382046756707928,1386,8.1534570330658e-40,1.76658235716426e-39
"155","Male",NA,"NH White",">=College grad",0.207601713062099,0.106580876255179,0.786708965906547,1939,1.08844434118745e-219,6.28878952686083e-219
"156","Male",NA,"Other","<HSG",0.000107066381156317,0.00241804956229151,-3.11958140710117,1,9.12679711644136e-09,1.12998440489274e-08
"157","Male",NA,"Other","HSG/GED",0.000642398286937901,0.00458265590352964,-1.96877608841533,6,1.71884121115442e-08,2.07859867395418e-08
"158","Male",NA,"Other","Some college/TS",0.0019271948608137,0.00745003438992378,-1.35770201303636,18,5.40115428333864e-10,7.20153904445153e-10
"159","Male",NA,"Other",">=College grad",0.00246252676659529,0.00540111086934049,-0.78836687109988,23,0.000106725049000078,0.000120645707565306
"160","Female",NA,"Hispanic","<HSG",0.00492505353319058,0.0303917823656626,-1.84576307754473,46,1.27754310809448e-46,3.32161208104566e-46
"161","Female",NA,"Hispanic","HSG/GED",0.00899357601713062,0.0113070615152015,-0.231254106766186,84,0.0344613963455053,0.0358398521993256
"162","Female",NA,"Hispanic","Some college/TS",0.015203426124197,0.0139535453655113,0.0870555531853956,142,0.303105948535321,0.309049202428171
"163","Female",NA,"Hispanic",">=College grad",0.0191648822269807,0.00728388475719924,0.979455580660418,179,1.50008761055606e-41,3.5456616249507e-41
"164","Female",NA,"NH Asian","<HSG",0,0.00522077982474706,-Inf,0,-Inf,-Inf
"165","Female",NA,"NH Asian","HSG/GED",0.000428265524625268,0.00294668347678941,-1.93121486011839,4,5.446071672844e-08,6.436266522452e-08
"166","Female",NA,"NH Asian","Some college/TS",0.000428265524625268,0.0048528289652142,-2.43201000273547,4,7.61967416512253e-15,1.20067592904961e-14
"167","Female",NA,"NH Asian",">=College grad",0.00214132762312634,0.00720891077527045,-1.21898324416703,20,7.07673137908074e-09,8.97536662712679e-09
"168","Female",NA,"NH Black","<HSG",0.00342612419700214,0.0181303672897205,-1.68102336222854,32,1.72706011721687e-26,3.09679745156128e-26
